Entity,Code,Year,"Sustainable Development Goals (SDG) Regions",GoverningCountry
Afghanistan,AFG,2024,"Central and Southern Asia",Afghanistan
"Aland Islands",ALA,2024,"Europe and Northern America",Finland
Albania,ALB,2024,"Europe and Northern America",Albania
Algeria,DZA,2024,"Northern Africa and Western Asia",Algeria
"American Samoa",ASM,2024,Oceania,"United States"
Andorra,AND,2024,"Europe and Northern America",Andorra
Angola,AGO,2024,"Sub-Saharan Africa",Angola
Anguilla,AIA,2024,"Latin America and the Caribbean",Anguilla
"Antigua and Barbuda",ATG,2024,"Latin America and the Caribbean","Antigua and Barbuda"
Argentina,ARG,2024,"Latin America and the Caribbean",Argentina
Armenia,ARM,2024,"Northern Africa and Western Asia",Armenia
Aruba,ABW,2024,"Latin America and the Caribbean",Aruba
Australia,AUS,2024,"Australia and New Zealand",Australia
Austria,AUT,2024,"Europe and Northern America",Austria
Azerbaijan,AZE,2024,"Northern Africa and Western Asia",Azerbaijan
"The Bahamas",BHS,2024,"Latin America and the Caribbean","The Bahamas"
Bahrain,BHR,2024,"Northern Africa and Western Asia",Bahrain
Bangladesh,BGD,2024,"Central and Southern Asia",Bangladesh
Barbados,BRB,2024,"Latin America and the Caribbean",Barbados
Belarus,BLR,2024,"Europe and Northern America",Belarus
Belgium,BEL,2024,"Europe and Northern America",Belgium
Belize,BLZ,2024,"Latin America and the Caribbean",Belize
Benin,BEN,2024,"Sub-Saharan Africa",Benin
Bermuda,BMU,2024,"Europe and Northern America",Bermuda
Bhutan,BTN,2024,"Central and Southern Asia",Bhutan
Bolivia,BOL,2024,"Latin America and the Caribbean",Bolivia
"Bonaire Sint Eustatius and Saba",BES,2024,"Latin America and the Caribbean","Bonaire Sint Eustatius and Saba"
"Bosnia and Herzegovina",BIH,2024,"Europe and Northern America","Bosnia and Herzegovina"
Botswana,BWA,2024,"Sub-Saharan Africa",Botswana
"Bouvet Island",BVT,2024,"Latin America and the Caribbean",Norway
Brazil,BRA,2024,"Latin America and the Caribbean",Brazil
